Room,Building,,Contract Status Date,,,Class Year,,College,,,
132,PYNE,,,"Apr 1, 2013 4:01:50 PM",,2015,UPPER,,,,
114,PYNE,,,"Apr 1, 2013 4:07:55 PM",,2014,UPPER,,,,
114,PYNE,,,"Apr 1, 2013 4:07:55 PM",,2014,UPPER,,,,
233,LOCKHART,,,"Apr 1, 2013 4:11:01 PM",,2015,UPPER,,,,
A14,LITTLE,,,"Apr 1, 2013 4:11:25 PM",,2015,UPPER,,,,
A14,LITTLE,,,"Apr 1, 2013 4:11:25 PM",,2015,UPPER,,,,
A14,LITTLE,,,"Apr 1, 2013 4:11:25 PM",,2015,UPPER,,,,
A14,LITTLE,,,"Apr 1, 2013 4:11:25 PM",,2015,UPPER,,,,
A16,LITTLE,,,"Apr 1, 2013 4:16:06 PM",,2015,UPPER,,,,
A16,LITTLE,,,"Apr 1, 2013 4:16:06 PM",,2015,UPPER,,,,
117,DOD,,,"Apr 1, 2013 4:22:53 PM",,2015,UPPER,,,,
324,LOCKHART,,,"Apr 1, 2013 4:27:52 PM",,2015,UPPER,,,,
113,DOD,,,"Apr 1, 2013 4:29:14 PM",,2015,UPPER,,,,
113,DOD,,,"Apr 1, 2013 4:29:14 PM",,2015,UPPER,,,,
124,PYNE,,,"Apr 1, 2013 4:34:14 PM",,2015,UPPER,,,,
124,PYNE,,,"Apr 1, 2013 4:34:14 PM",,2015,UPPER,,,,
G304B,HARGADON,,,"Apr 2, 2013 9:30:37 AM",,2014,WHITMAN,,,,
112,BLOOMBERG,,,"Apr 2, 2013 9:30:50 AM",,2014,BUTLER,,,,
112,BLOOMBERG,,,"Apr 2, 2013 9:30:50 AM",,2014,BUTLER,,,,
112,BLOOMBERG,,,"Apr 2, 2013 9:30:50 AM",,2014,BUTLER,,,,
047,LITTLE,,,"Apr 2, 2013 9:32:37 AM",,2014,MATHEY,,,,
062,LITTLE,,,"Apr 2, 2013 9:32:43 AM",,2014,MATHEY,,,,
B407,WENDELL,,,"Apr 2, 2013 9:33:02 AM",,2014,WHITMAN,,,,
C208,WENDELL,,,"Apr 2, 2013 9:35:00 AM",,2014,WHITMAN,,,,
055,LITTLE,,,"Apr 2, 2013 9:36:12 AM",,2014,MATHEY,,,,
057,LITTLE,,,"Apr 2, 2013 9:36:20 AM",,2014,MATHEY,,,,
057,LITTLE,,,"Apr 2, 2013 9:36:20 AM",,2014,MATHEY,,,,
D204,1976,,,"Apr 2, 2013 9:36:29 AM",,2014,BUTLER,,,,
E113,BAKER,,,"Apr 2, 2013 9:38:29 AM",,2014,WHITMAN,,,,
087,LITTLE,,,"Apr 2, 2013 9:38:38 AM",,2014,MATHEY,,,,
G203B,HARGADON,,,"Apr 2, 2013 9:39:58 AM",,2014,WHITMAN,,,,
E103,WILF,,,"Apr 2, 2013 9:41:00 AM",,2014,BUTLER,,,,
085,LITTLE,,,"Apr 2, 2013 9:41:40 AM",,2014,MATHEY,,,,
E206,BAKER,,,"Apr 2, 2013 9:42:44 AM",,2014,WHITMAN,,,,
G309,HARGADON,,,"Apr 2, 2013 9:44:44 AM",,2014,WHITMAN,,,,
S204,BAKER,,,"Apr 2, 2013 9:45:46 AM",,2014,WHITMAN,,,,
108,EDWARDS,,,"Apr 2, 2013 9:45:50 AM",,2014,MATHEY,,,,
425,BLOOMBERG,,,"Apr 2, 2013 9:45:55 AM",,2014,BUTLER,,,,
