Room 	Date/Time Drawn
GAUSS 112	Apr 12, 2017 11:23:18 AM
FORBES 153	Apr 12, 2017 11:23:44 AM
GAUSS 114	Apr 12, 2017 11:24:28 AM
1937 121	Apr 12, 2017 11:29:23 AM
FORBES 252	Apr 12, 2017 11:31:22 AM
FORBES A134	Apr 12, 2017 11:32:32 AM
FORBES A135	Apr 12, 2017 11:35:16 AM
DODGE OSBORN 122	Apr 12, 2017 11:36:40 AM
FORBES 253	Apr 12, 2017 11:39:48 AM
FORBES A252	Apr 12, 2017 11:40:17 AM
FORBES A250	Apr 12, 2017 11:40:20 AM
GAUSS 101	Apr 12, 2017 11:47:45 AM
FORBES A136	Apr 12, 2017 11:49:15 AM
FORBES 235	Apr 12, 2017 11:49:27 AM
FORBES A242	Apr 12, 2017 11:50:52 AM
1937 216	Apr 12, 2017 11:55:46 AM
FORBES 217	Apr 12, 2017 11:57:11 AM
FORBES A256	Apr 12, 2017 11:58:33 AM
FORBES 263	Apr 12, 2017 11:58:58 AM
DODGE OSBORN 121	Apr 12, 2017 11:59:23 AM
FEINBERG 401	Apr 12, 2017 12:00:03 PM
1927 133	Apr 12, 2017 12:05:47 PM
FORBES A254	Apr 12, 2017 12:06:31 PM
DODGE OSBORN 201	Apr 12, 2017 12:08:06 PM
FORBES A266	Apr 12, 2017 12:11:45 PM
FORBES A260	Apr 12, 2017 12:12:19 PM
FORBES A261	Apr 12, 2017 12:12:21 PM
FORBES A263	Apr 12, 2017 12:12:56 PM
FORBES 234	Apr 12, 2017 12:14:17 PM
FORBES A249	Apr 12, 2017 12:14:54 PM
1937 205	Apr 12, 2017 12:16:06 PM
FEINBERG 402	Apr 12, 2017 12:16:41 PM
1938 112	Apr 12, 2017 12:16:48 PM
1937 215	Apr 12, 2017 12:18:12 PM
FORBES 216	Apr 12, 2017 12:21:03 PM
FORBES A245	Apr 12, 2017 12:22:16 PM
FORBES 237	Apr 12, 2017 12:23:18 PM
1938 213	Apr 12, 2017 12:23:30 PM
1938 114	Apr 12, 2017 12:23:35 PM
DODGE OSBORN 216	Apr 12, 2017 12:26:41 PM
1937 105	Apr 12, 2017 12:30:09 PM
GAUSS 131	Apr 12, 2017 12:30:20 PM
GAUSS 134	Apr 12, 2017 12:31:54 PM
FORBES A125	Apr 12, 2017 12:32:25 PM
FORBES A145	Apr 12, 2017 12:36:29 PM
1938 211	Apr 12, 2017 12:39:23 PM
GAUSS 113	Apr 12, 2017 12:43:31 PM
DODGE OSBORN 223	Apr 12, 2017 12:44:09 PM
FORBES 239	Apr 12, 2017 12:45:08 PM
FORBES 206	Apr 12, 2017 12:46:02 PM
FORBES 221	Apr 12, 2017 12:51:58 PM
1939 336	Apr 12, 2017 12:53:58 PM
FORBES 111	Apr 12, 2017 1:00:15 PM
1938 132	Apr 12, 2017 1:00:42 PM
DODGE OSBORN 124	Apr 12, 2017 1:00:42 PM
DODGE OSBORN 125	Apr 12, 2017 1:00:54 PM
FORBES A337	Apr 12, 2017 1:01:12 PM
CLAPP 231	Apr 12, 2017 1:02:29 PM
1927 135	Apr 12, 2017 1:02:58 PM
FORBES 110	Apr 12, 2017 1:03:11 PM
WENDELL C215	Apr 12, 2017 1:09:25 PM
1939 228	Apr 12, 2017 1:16:01 PM
FORBES A231	Apr 12, 2017 1:17:38 PM
GAUSS 132	Apr 12, 2017 1:18:24 PM
GAUSS 133	Apr 12, 2017 1:19:05 PM
FORBES 207	Apr 12, 2017 1:20:25 PM
FORBES A427	Apr 12, 2017 1:21:10 PM
DODGE OSBORN 203	Apr 12, 2017 1:22:16 PM
FORBES A265	Apr 12, 2017 1:27:40 PM
FORBES A331	Apr 12, 2017 1:33:16 PM
WALKER 328	Apr 12, 2017 1:36:56 PM
WALKER 333	Apr 12, 2017 1:38:20 PM
FORBES 208	Apr 12, 2017 1:38:34 PM
FORBES A377	Apr 12, 2017 1:40:31 PM
FORBES A431	Apr 12, 2017 1:41:05 PM
FORBES A327	Apr 12, 2017 1:41:46 PM
WALKER 322	Apr 12, 2017 1:49:12 PM
WALKER 302	Apr 12, 2017 1:53:37 PM
FORBES A232	Apr 12, 2017 1:53:53 PM
WALKER 305	Apr 12, 2017 1:56:25 PM
FORBES A238	Apr 12, 2017 1:59:34 PM
WALKER 312	Apr 12, 2017 2:02:50 PM
FORBES A234	Apr 12, 2017 2:04:09 PM
FORBES A236	Apr 12, 2017 2:04:15 PM
WALKER 303	Apr 12, 2017 2:10:04 PM
FORBES A338	Apr 12, 2017 2:14:38 PM
FORBES A323	Apr 12, 2017 2:24:45 PM
FORBES A131	Apr 12, 2017 2:25:47 PM
FORBES A332	Apr 12, 2017 2:32:08 PM
FORBES A132	Apr 12, 2017 2:32:45 PM
FORBES A328	Apr 12, 2017 2:32:53 PM
FORBES A371	Apr 12, 2017 2:35:54 PM
FORBES A438	Apr 12, 2017 2:48:10 PM
FORBES A428	Apr 12, 2017 2:48:11 PM
FORBES A436	Apr 12, 2017 2:49:07 PM
FORBES A434	Apr 12, 2017 2:49:55 PM
FORBES A432	Apr 12, 2017 2:52:32 PM
FORBES A336	Apr 12, 2017 3:00:27 PM
FORBES A334	Apr 12, 2017 3:01:07 PM
FORBES A424	Apr 12, 2017 3:01:24 PM
FORBES A228	Apr 12, 2017 3:03:45 PM
FORBES A137	Apr 12, 2017 3:07:58 PM
FORBES A138	Apr 12, 2017 3:08:00 PM
FORBES A226	Apr 12, 2017 3:08:11 PM
