0028 056	1	Rockefeller	Pub	3	122	No	54	31
0028 057	1	Rockefeller	Pub	3	160	No	22	12	40	22
0028 061	4	Rockefeller	Pub	1	508	No	61	20	83	20
0028 062	4	Rockefeller	Pub	1	444	No	75	26	90	26
0028 063	4	Rockefeller	Pub	1	530	No	44	13	79	19
0028 066	4	Rockefeller	Pub	2	523	No	43	12	53	14
0028 067	4	Rockefeller	Pub	3	761	No	47	14	39	12
0028 068	1	Rockefeller	Pub	3	179	No	25	15	12	8
0028 073	4	Rockefeller	Pub	1	467	No	64	22	87	23
0028 074	2	Rockefeller	Pub	2	326	No	14	2	11	1
0028 075	1	Rockefeller	Pub	2	135	No
0028 076	1	Rockefeller	Pub	2	169	No	24	14	9	6
0028 078	2	Rockefeller	Pub	3	250	No	34	5	81	15
0028 079	1	Rockefeller	Pub	3	176	No	33	21	15	10
0028 081	4	Rockefeller	Pub	1	483	No	63	21	86	22
0028 085	1	Rockefeller	Pub	3	158	No	46	28	34	18
0028 088	1	Rockefeller	Pub	3	215	No	21	11	2	1
0028 092	4	Rockefeller	Pub	1	440	No	70	24	93	29
0028 093	2	Rockefeller	Pub	2	197	No
0028 094	2	Rockefeller	Pub	2	201	No
0028 095	1	Rockefeller	Pub	3	112	No	67	40	77	46
0028 096	2	Rockefeller	Pub	3	246	No	87	9	82	16
0028 097	1	Rockefeller	Pub	3	118	No	62	37	63	36
0028 107	4	Rockefeller	Pub	3	748	No	58	19	71	16
0028 111	4	Rockefeller	Pub	1	437	No	88	30
0028 115	1	Rockefeller	Pub	3	128	No	23	13
0028 116	1	Rockefeller	Pub	3	176	No	9	5	31	17
0028 123	4	Rockefeller	Pub	2	402	No
0028 124	2	Rockefeller	Pub	2	200	No
0028 135	2	Rockefeller	Pub	2	182	No
0028 142	1	Rockefeller	Pub	2	166	No	38	23	13	9
0028 143	4	Rockefeller	Pub	3	462	No	76	27	91	27
0029 113	1	Mathey	Pub	1	176	No	15	14	16	12
0029 124	4	Mathey	Pub	2	628	No	93	15	61	5
0029 221	1	Mathey	Pub	2	145	No	34	29	37	29
0029 322	1	Mathey	Pub	2	129	No	47	38	58	44
0029 324	5	Mathey	Pub	2	957	No	52	1	48	1
0029 325	1	Mathey	Pub	2	127	No	94	66	57	43
0030 111	4	Upperclass	Pub	1	530	No	540	35	536	37
0030 112	3	Upperclass	Pub	1	447	No	535	55	375	32
0030 121	4	Upperclass	Pub	2	529	No	573	41	537	38
0030 122	3	Upperclass	Pub	2	441	No	536	56	427	38
0030 211	3	Upperclass	Pub	1	425	No	588	68	658	76
0030 212	3	Upperclass	Pub	1	409	No	632	85	670	80
0030 221	3	Upperclass	Pub	2	428	No	611	75	685	89
0030 222	3	Upperclass	Pub	2	415	No	624	80	684	88
0030 231	1	Upperclass	Pub	3	126	No	275	201	530	356
0030 232	1	Upperclass	Pub	3	152	No	252	184	340	233
0030 233	1	Upperclass	Pub	3	160	No	208	146	328	223
0030 234	4	Upperclass	Pub	3	639	No	452	27	571	39
0030 235	1	Upperclass	Pub	3	151	No	253	185	338	231
0030 236	1	Upperclass	Pub	3	127	No	339	232
0030 311	3	Upperclass	Pub	1	424	No	565	63	654	73
0030 312	3	Upperclass	Pub	1	415	No	566	64	655	74
0030 321	3	Upperclass	Pub	2	429	No	616	76	676	82
0030 322	3	Upperclass	Pub	2	416	No	625	81	677	83
0030 401	1	Upperclass	Pub	A	223	No	92	60	123	78
0030 402	3	Upperclass	Pub	A	399	No	651	93	704	101
0030 403	1	Upperclass	Pub	A	235	No	595	379	10	6
0030 404	2	Upperclass	Pub	A	394	No	413	48	221	42
0030 412	3	Upperclass	Pub	1	399	No	646	92	698	97
0030 413	1	Upperclass	Pub	1	235	No	610	380	40	21
0030 414	3	Upperclass	Pub	1	437	No	583	67	620	67
0030 421	5	Upperclass	Pub	2	775	No	439	1	268	1
0030 422	3	Upperclass	Pub	2	396	No	652	94	689	92
0030 431	1	Upperclass	Pub	3	153	No	270	196	293	197
0030 432	1	Upperclass	Pub	3	164	No	76	48	283	189
0030 433	1	Upperclass	Pub	3	152	No	243	175	291	195
0030 434	1	Upperclass	Pub	3	124	No	541	360
0030 435	1	Upperclass	Pub	3	120	No	273	199	544	363
0030 436	1	Upperclass	Pub	3	126	No	272	198	525	354
0030 437	1	Upperclass	Pub	3	191	No	642	383	120	76
0030 438	1	Upperclass	Pub	3	180	No	78	49	275	182
0030 439	1	Upperclass	Pub	3	142	No	274	200	292	196
